tool_patch_uid,selected_correctness,predicted_binary_label
llm4pc-defects4j-Lang-7-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-13-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-78-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-21-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-67-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-55-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-10-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-120-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-59-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-22-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-75-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-33-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-61-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-114-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-121-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-124-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-112-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-5-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-12-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-25-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-13-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-33-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-28-RSRepair-patch1,Overfitting,Correct
llm4pc-defects4j-Math-85-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-80-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-95-RSRepair-patch1,Overfitting,Correct
llm4pc-defects4j-Math-84-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-103-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-40-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-58-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-81-RSRepair-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-115-RSRepair-patch1,Correct,Overfitting
llm4pc-defects4j-Closure-126-RSRepair-patch1,Correct,Overfitting
