uid,gt_correctness,inferred_label,voting_details,total_pairs,correct_votes,overfitting_votes,unknown_votes
aprenfl-defects4j-Chart-1-TBar-Patch_2781_1214,Correct,Correct,"'Unknown': 53 (49 not-clone, 4 type-3), 'Correct': 15 (15 type-1)",68,15,0,53
aprenfl-defects4j-Chart-11-TBar-Patch_102_60,Correct,Correct,"'Unknown': 5 (5 type-3), 'Correct': 7 (7 type-1)",12,7,0,5
aprenfl-defects4j-Chart-12-TBar-Patch_39_22,Overfitting,Overfitting,"'Unknown': 17 (16 not-clone, 1 type-3), 'Overfitting': 6 (3 type-4, 3 not-clone)",23,0,6,17
aprenfl-defects4j-Chart-13-TBar-Patch_29_18,Overfitting,Overfitting,"'Unknown': 54 (51 not-clone, 3 type-3), 'Overfitting': 1 (1 not-clone)",55,0,1,54
aprenfl-defects4j-Chart-14-TBar-Patch_2034_473,Overfitting,Overfitting,"'Unknown': 50 (39 not-clone, 11 type-3), 'Overfitting': 5 (4 not-clone, 1 type-2)",55,0,5,50
aprenfl-defects4j-Chart-14-TBar-Patch_2631_615,Overfitting,Overfitting,"'Unknown': 50 (36 not-clone, 14 type-3), 'Overfitting': 5 (4 not-clone, 1 type-1)",55,0,5,50
aprenfl-defects4j-Chart-14-TBar-Patch_2669_616,Overfitting,Overfitting,"'Unknown': 52 (39 not-clone, 13 type-3), 'Overfitting': 3 (2 not-clone, 1 type-2)",55,0,3,52
aprenfl-defects4j-Chart-14-TBar-Patch_974_207,Overfitting,Overfitting,"'Unknown': 51 (35 not-clone, 16 type-3), 'Overfitting': 4 (3 not-clone, 1 type-4)",55,0,4,51
aprenfl-defects4j-Chart-15-TBar-Patch_220_119,Overfitting,Overfitting,"'Unknown': 42 (31 type-3, 11 not-clone), 'Overfitting': 2 (2 type-1)",44,0,2,42
aprenfl-defects4j-Chart-19-TBar-Patch_143_118,Correct,Unknown,"'Unknown': 9 (7 type-3, 2 not-clone)",9,0,0,9
aprenfl-defects4j-Chart-19-TBar-Patch_68_59,Correct,Correct,"'Unknown': 2 (2 not-clone), 'Correct': 7 (4 type-1, 3 type-4)",9,7,0,2
aprenfl-defects4j-Chart-24-TBar-Patch_42_20,Correct,Correct,"'Unknown': 1 (1 not-clone), 'Correct': 11 (6 type-1, 5 type-4)",12,11,0,1
aprenfl-defects4j-Chart-25-TBar-Patch_12_9,Overfitting,Overfitting,"'Unknown': 97 (66 not-clone, 31 type-3), 'Overfitting': 2 (2 type-1)",99,0,2,97
aprenfl-defects4j-Chart-26-TBar-Patch_5751_2399,Overfitting,Overfitting,"'Unknown': 14 (12 type-3, 2 not-clone), 'Overfitting': 2 (2 not-clone)",16,0,2,14
aprenfl-defects4j-Chart-3-TBar-Patch_440_242,Overfitting,Overfitting,"'Unknown': 14 (12 not-clone, 2 type-3), 'Overfitting': 6 (4 not-clone, 1 type-1, 1 type-4)",20,0,6,14
aprenfl-defects4j-Chart-4-TBar-Patch_2689_1263,Correct,Correct,"'Unknown': 1 (1 not-clone), 'Correct': 3 (3 type-1)",4,3,0,1
aprenfl-defects4j-Chart-5-TBar-Patch_52_1,Overfitting,Overfitting,"'Unknown': 19 (17 not-clone, 2 type-3), 'Overfitting': 4 (4 not-clone)",23,0,4,19
aprenfl-defects4j-Chart-7-TBar-Patch_2_2,Overfitting,Overfitting,"'Unknown': 9 (9 not-clone), 'Overfitting': 11 (4 type-1, 4 type-4, 2 not-clone, 1 type-2)",20,0,11,9
aprenfl-defects4j-Chart-9-TBar-Patch_497_311,Correct,Correct,"'Unknown': 7 (4 not-clone, 3 type-3), 'Correct': 3 (3 type-2)",10,3,0,7
aprenfl-defects4j-Closure-107-TBar-Patch_356_164,Overfitting,Overfitting,"'Unknown': 1 (1 not-clone), 'Overfitting': 1 (1 not-clone)",2,0,1,1
aprenfl-defects4j-Closure-109-TBar-Patch_270_73,Overfitting,Overfitting,"'Unknown': 4 (3 not-clone, 1 type-3), 'Overfitting': 2 (2 type-1)",6,0,2,4
aprenfl-defects4j-Closure-115-TBar-Patch_704_253,Overfitting,Unknown,"'Unknown': 37 (36 type-3, 1 not-clone)",37,0,0,37
aprenfl-defects4j-Closure-12-TBar-Patch_160_37,Overfitting,Overfitting,"'Unknown': 4 (4 not-clone), 'Overfitting': 3 (2 type-1, 1 not-clone)",7,0,3,4
aprenfl-defects4j-Closure-126-TBar-Patch_6_3,Overfitting,Overfitting,"'Unknown': 32 (20 not-clone, 12 type-3), 'Overfitting': 12 (11 not-clone, 1 type-4)",44,0,12,32
aprenfl-defects4j-Closure-133-TBar-Patch_433_171,Overfitting,Overfitting,"'Unknown': 4 (4 not-clone), 'Overfitting': 1 (1 not-clone)",5,0,1,4
aprenfl-defects4j-Closure-21-TBar-Patch_260_40,Overfitting,Overfitting,"'Unknown': 51 (51 type-3), 'Overfitting': 2 (2 type-4)",53,0,2,51
aprenfl-defects4j-Closure-22-TBar-Patch_5_5,Overfitting,Overfitting,"'Unknown': 68 (68 not-clone), 'Overfitting': 3 (2 type-1, 1 not-clone)",71,0,3,68
aprenfl-defects4j-Closure-62-TBar-Patch_43_31,Correct,Correct,"'Unknown': 9 (9 type-3), 'Correct': 5 (5 type-1)",14,5,0,9
aprenfl-defects4j-Closure-66-TBar-Patch_9_6,Overfitting,Overfitting,"'Unknown': 1 (1 not-clone), 'Overfitting': 3 (2 type-1, 1 not-clone)",4,0,3,1
aprenfl-defects4j-Closure-73-TBar-Patch_146_58,Correct,Correct,"'Unknown': 1 (1 type-3), 'Correct': 9 (8 type-1, 1 type-2)",10,9,0,1
aprenfl-defects4j-Lang-10-TBar-Patch_2435_1012,Correct,Correct,"'Unknown': 6 (3 not-clone, 3 type-3), 'Correct': 2 (2 type-4)",8,2,0,6
