tool_patch_uid,Oracle,Predicted value
llm4pc-defects4j-Lang-7-Arja-patch1,Overfitting,Correct
llm4pc-defects4j-Lang-20-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Lang-16-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-22-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-130-Arja-patch1,Overfitting,Unknown
llm4pc-defects4j-Closure-121-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-68-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-55-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-33-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-46-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-21-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-45-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-125-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-10-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-8-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-133-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-116-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-78-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-112-Arja-patch1,Overfitting,Unknown
llm4pc-defects4j-Closure-1-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-7-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-67-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-124-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-75-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-119-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-117-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-129-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-120-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-59-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Closure-114-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-19-Arja-patch1,Overfitting,Correct
llm4pc-defects4j-Chart-15-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-13-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-5-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-7-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-14-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-1-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Chart-25-Arja-patch1,Overfitting,Unknown
llm4pc-defects4j-Chart-3-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-74-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-84-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-81-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-80-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-95-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-40-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-28-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-85-Arja-patch1,Overfitting,Overfitting
llm4pc-defects4j-Math-56-Arja-patch1,Overfitting,Correct
llm4pc-defects4j-Math-82-Arja-patch1,Overfitting,Overfitting
