,Processor,Prompt,Model,Tool,F1,Accuracy,Support,total,TP,FP,TN,FN
0,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,Arja,0.9292929292929293,0.8771929824561403,1.0,57,46,4,4,3
1,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,Jaid,0.759493670886076,0.6607142857142857,1.0,56,30,10,7,9
2,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,TBar,0.9253731343283582,0.875,1.0,40,31,3,4,2
3,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,FixMiner,0.8717948717948718,0.8,1.0,25,17,3,3,2
4,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,jKali,0.9230769230769231,0.8571428571428571,1.0,35,30,4,0,1
5,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,Nopol,0.9795918367346939,0.96,1.0,50,48,0,0,2
6,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,HDRepair,0.8888888888888888,0.875,1.0,8,4,1,3,0
7,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,ACS,0.5161290322580645,0.5833333333333334,1.0,36,8,15,13,0
8,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,jGenProg,0.8955223880597015,0.8108108108108109,1.0,37,30,4,0,3
9,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,SketchFix,0.7142857142857143,0.6666666666666666,1.0,12,5,2,3,2
10,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,SimFix,0.8089887640449438,0.7068965517241379,1.0,58,36,11,5,6
11,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,AVATAR,0.8888888888888888,0.8333333333333334,1.0,54,36,8,9,1
12,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,GenProg,0.9795918367346939,0.96,1.0,25,24,1,0,0
13,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,kPAR,0.9354838709677419,0.8823529411764706,1.0,34,29,1,1,3
14,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,Cardumen,1.0,1.0,1.0,9,9,0,0,0
15,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,SequenceR,0.8615384615384616,0.7954545454545454,1.0,44,28,1,7,8
16,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,Kali,0.9722222222222222,0.9473684210526315,1.0,38,35,1,1,1
17,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,DynaMoth,0.9767441860465116,0.9545454545454546,1.0,22,21,1,0,0
18,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,SOFix,0.25,0.45454545454545453,1.0,11,1,6,4,0
19,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,CapGen,0.891566265060241,0.8125,1.0,48,37,5,2,4
20,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,jMutRepair,0.8888888888888888,0.8125,1.0,16,12,1,1,2
21,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,RSRepair,0.9354838709677419,0.8787878787878788,1.0,33,29,2,0,2
