,Processor,Prompt,Model,Tool,F1,Accuracy,Support,total,TP,FP,TN,FN
0,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,Arja,0.9375,0.8909090909090909,0.9649122807017544,57,45,3,4,3
1,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,Jaid,0.7671232876712328,0.6730769230769231,0.9285714285714286,56,28,8,7,9
2,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,TBar,0.9666666666666667,0.9428571428571428,0.875,40,29,0,4,2
3,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,FixMiner,0.9444444444444444,0.9090909090909091,0.88,25,17,0,3,2
4,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,jKali,0.9180327868852459,0.8484848484848485,0.9428571428571428,35,28,4,0,1
5,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,Nopol,0.9777777777777777,0.9565217391304348,0.92,50,44,0,0,2
6,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,HDRepair,1.0,1.0,0.875,8,4,0,3,0
7,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,ACS,0.5714285714285714,0.6129032258064516,0.8611111111111112,36,8,12,11,0
8,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,jGenProg,0.8852459016393442,0.7941176470588235,0.918918918918919,37,27,4,0,3
9,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,SketchFix,0.7692307692307693,0.7272727272727273,0.9166666666666666,12,5,1,3,2
10,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,SimFix,0.825,0.7307692307692307,0.896551724137931,58,33,8,5,6
11,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,AVATAR,0.9393939393939394,0.9069767441860465,0.7962962962962963,54,31,3,8,1
12,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,GenProg,0.9787234042553191,0.9583333333333334,0.96,25,23,1,0,0
13,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,kPAR,0.9473684210526315,0.9032258064516129,0.9117647058823529,34,27,0,1,3
14,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,Cardumen,1.0,1.0,1.0,9,9,0,0,0
15,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,SequenceR,0.8524590163934426,0.7804878048780488,0.9318181818181818,44,26,1,6,8
16,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,Kali,0.9722222222222222,0.9473684210526315,1.0,38,35,1,1,1
17,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,DynaMoth,1.0,1.0,0.9545454545454546,22,21,0,0,0
18,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,SOFix,0.4,0.625,0.7272727272727273,11,1,3,4,0
19,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,CapGen,0.9230769230769231,0.8636363636363636,0.9166666666666666,48,36,2,2,4
20,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,jMutRepair,0.8888888888888888,0.8125,1.0,16,12,1,1,2
21,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,RSRepair,0.9354838709677419,0.8787878787878788,1.0,33,29,2,0,2
