,Processor,Prompt,Model,Tool,F1,Accuracy,Support,total,TP,FP,TN,FN
0,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,Arja,0.9183673469387755,0.8596491228070176,0.9649122807017544,57,45,4,4,4
1,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,Jaid,0.7272727272727273,0.625,0.9285714285714286,56,28,10,7,11
2,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,TBar,0.8923076923076924,0.825,0.875,40,29,3,4,4
3,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,FixMiner,0.8717948717948718,0.8,0.88,25,17,3,3,2
4,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,jKali,0.8888888888888888,0.8,0.9428571428571428,35,28,4,0,3
5,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,Nopol,0.9361702127659575,0.88,0.92,50,44,0,0,6
6,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,HDRepair,0.8888888888888888,0.875,0.875,8,4,1,3,0
7,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,ACS,0.48484848484848486,0.5277777777777778,0.8611111111111112,36,8,17,11,0
8,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,jGenProg,0.84375,0.7297297297297297,0.918918918918919,37,27,4,0,6
9,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,SketchFix,0.7142857142857143,0.6666666666666666,0.9166666666666666,12,5,2,3,2
10,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,SimFix,0.7674418604651163,0.6551724137931034,0.896551724137931,58,33,11,5,9
11,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,AVATAR,0.8051948051948052,0.7222222222222222,0.7962962962962963,54,31,9,8,6
12,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,GenProg,0.9583333333333334,0.92,0.96,25,23,1,0,1
13,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,kPAR,0.9,0.8235294117647058,0.9117647058823529,34,27,1,1,5
14,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,Cardumen,1.0,1.0,1.0,9,9,0,0,0
15,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,SequenceR,0.8125,0.7272727272727273,0.9318181818181818,44,26,2,6,10
16,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,Kali,0.9722222222222222,0.9473684210526315,1.0,38,35,1,1,1
17,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,DynaMoth,0.9767441860465116,0.9545454545454546,0.9545454545454546,22,21,1,0,0
18,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,SOFix,0.25,0.45454545454545453,0.7272727272727273,11,1,6,4,0
19,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,CapGen,0.8780487804878049,0.7916666666666666,0.9166666666666666,48,36,5,2,5
20,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,jMutRepair,0.8888888888888888,0.8125,1.0,16,12,1,1,2
21,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,RSRepair,0.9354838709677419,0.8787878787878788,1.0,33,29,2,0,2
