,Model1,Model2,Prompt1,Prompt2,Processor1,Processor2,Kappa
0,magicoder:7b-s-cl,magicoder:7b-s-cl,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.007384609099172934
1,magicoder:7b-s-cl,codellama:7b-instruct,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.0011011483404121947
2,magicoder:7b-s-cl,codellama:7b-instruct,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.013592000074342359
3,magicoder:7b-s-cl,codellama:13b-instruct,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.038890041587356095
4,magicoder:7b-s-cl,codellama:13b-instruct,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.018420626670048068
5,magicoder:7b-s-cl,deepseek-coder:6.7b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.004808109587311593
6,magicoder:7b-s-cl,deepseek-coder:6.7b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.007158187592588572
7,magicoder:7b-s-cl,codegemma:7b-instruct,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,-0.010897966987445162
8,magicoder:7b-s-cl,codegemma:7b-instruct,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.0015261836162769882
9,magicoder:7b-s-cl,qwen2.5:7b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.017674638095945605
10,magicoder:7b-s-cl,qwen2.5:7b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.016949548326277597
11,magicoder:7b-s-cl,qwen2.5-coder:7b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,-0.0036897732218605928
12,magicoder:7b-s-cl,qwen2.5-coder:7b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.020205572838118302
13,magicoder:7b-s-cl,yi-coder:9b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,-0.03936272007841701
14,magicoder:7b-s-cl,yi-coder:9b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.012280691453132153
15,magicoder:7b-s-cl,hermes3:8b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.0034457538458032566
