,Processor,Prompt,Model,Recall
0,defaultpatch,llm4cc-simple_prompt-semantical,magicoder:7b-s-cl,0.23349217154526888
1,defaultpatch,llm4cc-reasoning-patch-semantical,magicoder:7b-s-cl,0.25799863852961197
2,defaultpatch,llm4cc-reasoning-patch-semantical,magicoder:7b-s-cl,0.25799863852961197
3,defaultpatch,llm4cc-similarity_line-patch-semantical,magicoder:7b-s-cl,0.1817562968005446
4,defaultpatch,llm4cc-simple_prompt-identical,magicoder:7b-s-cl,0.213070115724983
5,defaultpatch,llm4cc-reasoning-patch-identical,magicoder:7b-s-cl,0.3417290673927842
6,defaultpatch,llm4cc-similarity_line-patch-identical,magicoder:7b-s-cl,0.168141592920354
7,defaultpatch,llm4cc-simple_prompt-semantical,codellama:7b-instruct,0.16746085772634445
8,defaultpatch,llm4cc-reasoning-patch-semantical,codellama:7b-instruct,0.3662355343771273
9,defaultpatch,llm4cc-reasoning-patch-semantical,codellama:7b-instruct,0.3662355343771273
10,defaultpatch,llm4cc-similarity_line-patch-semantical,codellama:7b-instruct,0.4084411164057182
11,defaultpatch,llm4cc-simple_prompt-identical,codellama:7b-instruct,0.014295439074200136
12,defaultpatch,llm4cc-reasoning-patch-identical,codellama:7b-instruct,0.6923076923076923
13,defaultpatch,llm4cc-similarity_line-patch-identical,codellama:7b-instruct,0.07556160653505786
14,defaultpatch,llm4cc-simple_prompt-semantical,codellama:13b-instruct,0.17154526889040164
15,defaultpatch,llm4cc-reasoning-patch-semantical,codellama:13b-instruct,0.2702518720217835
16,defaultpatch,llm4cc-reasoning-patch-semantical,codellama:13b-instruct,0.2702518720217835
17,defaultpatch,llm4cc-similarity_line-patch-semantical,codellama:13b-instruct,0.517358747447243
18,defaultpatch,llm4cc-simple_prompt-identical,codellama:13b-instruct,0.006126616746085773
19,defaultpatch,llm4cc-reasoning-patch-identical,codellama:13b-instruct,0.23485364193328795
20,defaultpatch,llm4cc-similarity_line-patch-identical,codellama:13b-instruct,0.6895847515316542
21,defaultpatch,llm4cc-simple_prompt-semantical,deepseek-coder:6.7b,0.5908781484002723
22,defaultpatch,llm4cc-reasoning-patch-semantical,deepseek-coder:6.7b,0.5643294758339006
23,defaultpatch,llm4cc-reasoning-patch-semantical,deepseek-coder:6.7b,0.5643294758339006
24,defaultpatch,llm4cc-similarity_line-patch-semantical,deepseek-coder:6.7b,0.6160653505786249
25,defaultpatch,llm4cc-simple_prompt-identical,deepseek-coder:6.7b,0.6344452008168823
26,defaultpatch,llm4cc-reasoning-patch-identical,deepseek-coder:6.7b,0.7719537100068073
27,defaultpatch,llm4cc-similarity_line-patch-identical,deepseek-coder:6.7b,0.7079646017699115
28,defaultpatch,llm4cc-simple_prompt-semantical,codegemma:7b-instruct,0.998638529611981
29,defaultpatch,llm4cc-reasoning-patch-semantical,codegemma:7b-instruct,0.8978897208985704
30,defaultpatch,llm4cc-reasoning-patch-semantical,codegemma:7b-instruct,0.8978897208985704
31,defaultpatch,llm4cc-similarity_line-patch-semantical,codegemma:7b-instruct,0.5336963921034718
32,defaultpatch,llm4cc-simple_prompt-identical,codegemma:7b-instruct,0.9264805990469708
33,defaultpatch,llm4cc-reasoning-patch-identical,codegemma:7b-instruct,0.729067392784207
