,Processor,Prompt,Model,F1,Support,TP,FP,TN,FN
0,defaultpatch,llm4cc-simple_prompt-semantical,magicoder:7b-s-cl,0.634180790960452,2446,449,0,1479,518
1,defaultpatch,llm4cc-reasoning-patch-semantical,magicoder:7b-s-cl,0.5315110098709187,1852,350,0,885,617
2,defaultpatch,llm4cc-reasoning-patch-semantical,magicoder:7b-s-cl,0.5315110098709187,1852,350,0,885,617
3,defaultpatch,llm4cc-similarity_line-patch-semantical,magicoder:7b-s-cl,0.4378029079159935,1534,271,0,567,696
4,defaultpatch,llm4cc-simple_prompt-identical,magicoder:7b-s-cl,0.7166556071665561,2061,540,0,1094,427
5,defaultpatch,llm4cc-reasoning-patch-identical,magicoder:7b-s-cl,0.7506459948320413,2381,581,0,1414,386
6,defaultpatch,llm4cc-similarity_line-patch-identical,magicoder:7b-s-cl,0.4186426819296811,1547,256,0,580,711
7,defaultpatch,llm4cc-simple_prompt-semantical,codellama:7b-instruct,0.19662921348314608,1336,105,0,373,858
8,defaultpatch,llm4cc-reasoning-patch-semantical,codellama:7b-instruct,0.6968876860622463,2639,515,0,1676,448
9,defaultpatch,llm4cc-reasoning-patch-semantical,codellama:7b-instruct,0.6968876860622463,2639,515,0,1676,448
10,defaultpatch,llm4cc-similarity_line-patch-semantical,codellama:7b-instruct,0.5275229357798165,1924,345,0,961,618
11,defaultpatch,llm4cc-simple_prompt-identical,codellama:7b-instruct,0.018518518518518517,1048,9,0,85,954
12,defaultpatch,llm4cc-reasoning-patch-identical,codellama:7b-instruct,0.7817836812144212,2784,618,0,1821,345
13,defaultpatch,llm4cc-similarity_line-patch-identical,codellama:7b-instruct,0.44802578565672846,1377,278,0,414,685
14,defaultpatch,llm4cc-simple_prompt-semantical,codellama:13b-instruct,0.5115919629057187,1796,331,0,833,632
15,defaultpatch,llm4cc-reasoning-patch-semantical,codellama:13b-instruct,0.7622107969151671,2623,593,0,1660,370
16,defaultpatch,llm4cc-reasoning-patch-semantical,codellama:13b-instruct,0.7622107969151671,2623,593,0,1660,370
17,defaultpatch,llm4cc-similarity_line-patch-semantical,codellama:13b-instruct,0.7542043984476067,2641,583,0,1678,380
18,defaultpatch,llm4cc-simple_prompt-identical,codellama:13b-instruct,0.0525783619817998,1040,26,0,77,937
19,defaultpatch,llm4cc-reasoning-patch-identical,codellama:13b-instruct,0.6550279329608939,2218,469,0,1255,494
20,defaultpatch,llm4cc-similarity_line-patch-identical,codellama:13b-instruct,0.8657243816254417,3290,735,0,2327,228
21,defaultpatch,llm4cc-simple_prompt-semantical,deepseek-coder:6.7b,0.7677543186180422,2990,600,0,2027,363
22,defaultpatch,llm4cc-reasoning-patch-semantical,deepseek-coder:6.7b,0.7452768729641693,2868,572,0,1905,391
23,defaultpatch,llm4cc-reasoning-patch-semantical,deepseek-coder:6.7b,0.7452768729641693,2868,572,0,1905,391
24,defaultpatch,llm4cc-similarity_line-patch-semantical,deepseek-coder:6.7b,0.6942372881355933,2767,512,0,1804,451
25,defaultpatch,llm4cc-simple_prompt-identical,deepseek-coder:6.7b,0.8133086876155268,3087,660,0,2124,303
26,defaultpatch,llm4cc-reasoning-patch-identical,deepseek-coder:6.7b,0.8176795580110497,3206,666,0,2243,297
27,defaultpatch,llm4cc-similarity_line-patch-identical,deepseek-coder:6.7b,0.7370491803278688,2776,562,0,1813,401
28,defaultpatch,llm4cc-simple_prompt-semantical,codegemma:7b-instruct,0.9984399375975039,4164,960,0,3201,3
29,defaultpatch,llm4cc-reasoning-patch-semantical,codegemma:7b-instruct,0.9695024077046549,3675,906,0,2712,57
30,defaultpatch,llm4cc-reasoning-patch-semantical,codegemma:7b-instruct,0.9695024077046549,3675,906,0,2712,57
31,defaultpatch,llm4cc-similarity_line-patch-semantical,codegemma:7b-instruct,0.8556149732620321,3495,720,0,2532,243
32,defaultpatch,llm4cc-simple_prompt-identical,codegemma:7b-instruct,0.964516129032258,3222,897,0,2259,66
33,defaultpatch,llm4cc-reasoning-patch-identical,codegemma:7b-instruct,0.7444589308996089,2484,571,0,1521,392
34,defaultpatch,llm4cc-similarity_line-patch-identical,codegemma:7b-instruct,0.3608510638297872,1093,212,0,130,751
35,defaultpatch,llm4cc-simple_prompt-semantical,qwen2.5:7b,0.5127413127413127,1268,332,0,305,631
36,defaultpatch,llm4cc-reasoning-patch-semantical,qwen2.5:7b,0.7387033398821218,2212,564,0,1249,399
37,defaultpatch,llm4cc-reasoning-patch-semantical,qwen2.5:7b,0.7387033398821218,2212,564,0,1249,399
38,defaultpatch,llm4cc-similarity_line-patch-semantical,qwen2.5:7b,0.6762886597938145,2184,492,0,1221,471
39,defaultpatch,llm4cc-simple_prompt-identical,qwen2.5:7b,0.35805626598465473,1118,210,0,155,753
40,defaultpatch,llm4cc-reasoning-patch-identical,qwen2.5:7b,0.6113914924297044,1858,424,0,895,539
41,defaultpatch,llm4cc-similarity_line-patch-identical,qwen2.5:7b,0.4517684887459807,1658,281,0,695,682
42,defaultpatch,llm4cc-simple_prompt-semantical,qwen2.5-coder:7b,0.5230061349693251,1144,341,0,181,622
43,defaultpatch,llm4cc-reasoning-patch-semantical,qwen2.5-coder:7b,0.7108433734939759,2024,531,0,1061,432
44,defaultpatch,llm4cc-reasoning-patch-semantical,qwen2.5-coder:7b,0.7108433734939759,2024,531,0,1061,432
45,defaultpatch,llm4cc-similarity_line-patch-semantical,qwen2.5-coder:7b,0.8205756276791182,2286,670,0,1323,293
46,defaultpatch,llm4cc-simple_prompt-identical,qwen2.5-coder:7b,0.49295774647887325,1061,315,0,98,648
47,defaultpatch,llm4cc-reasoning-patch-identical,qwen2.5-coder:7b,0.5573033707865168,1525,372,0,562,591
48,defaultpatch,llm4cc-similarity_line-patch-identical,qwen2.5-coder:7b,0.5648286140089419,1401,379,0,438,584
49,defaultpatch,llm4cc-simple_prompt-semantical,yi-coder:9b,0.31277533039647576,647,71,0,264,312
