,Processor,Prompt,Model,F1,Support,TP,FP,TN,FN
0,defaultpatch,llm4cc-clone_type-patch,magicoder:7b-s-cl,0.3509700176366843,1725,199,0,790,736
1,defaultpatch,llm4cc-integrated-patch,magicoder:7b-s-cl,0.8026143790849674,2955,614,0,2039,302
2,defaultpatch,llm4cc-clone_type-patch,codellama:7b-instruct,0.7693360711841205,1903,562,0,1004,337
3,defaultpatch,llm4cc-integrated-patch,codellama:7b-instruct,0.7585743106926698,2738,564,0,1815,359
4,defaultpatch,llm4cc-clone_type-patch,codellama:13b-instruct,0.9766407119021134,3537,878,0,2617,42
5,defaultpatch,llm4cc-integrated-patch,codellama:13b-instruct,0.8591022443890274,3371,689,0,2456,226
6,defaultpatch,llm4cc-clone_type-patch,deepseek-coder:6.7b,0.6982543640897756,2392,420,0,1609,363
7,defaultpatch,llm4cc-integrated-patch,deepseek-coder:6.7b,0.9085510688836105,3468,765,0,2549,154
8,defaultpatch,llm4cc-clone_type-patch,codegemma:7b-instruct,0.9982238010657194,1852,562,0,1288,2
9,defaultpatch,llm4cc-integrated-patch,codegemma:7b-instruct,0.9899630216587427,4135,937,0,3179,19
10,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,0.5786963434022258,1479,364,0,585,530
11,defaultpatch,llm4cc-integrated-patch,qwen2.5:7b,0.918954248366013,2731,703,0,1904,124
12,defaultpatch,llm4cc-clone_type-patch,qwen2.5-coder:7b,0.5433070866141733,1421,345,0,496,580
13,defaultpatch,llm4cc-integrated-patch,qwen2.5-coder:7b,0.973384030418251,2954,896,0,2009,49
14,defaultpatch,llm4cc-clone_type-patch,yi-coder:9b,0.060759493670886074,503,12,0,120,371
15,defaultpatch,llm4cc-integrated-patch,yi-coder:9b,0.8401253918495298,1868,268,0,1498,102
16,defaultpatch,llm4cc-clone_type-patch,hermes3:8b,0.9705561613958561,2373,445,0,1901,27
17,defaultpatch,llm4cc-integrated-patch,hermes3:8b,0.9123020706455542,2973,749,0,2080,144
