,Processor,Prompt,Model,F1,Support,Total,TP,FP,TN,FN
0,method,llm4cc-clone_type,magicoder:7b-s-cl,0.9221556886227545,100,109,77,13,10,0
1,method,llm4cc-integrated,magicoder:7b-s-cl,0.8888888888888888,131,139,92,21,16,2
2,method,llm4cc-clone_type,codellama:7b-instruct,0.9346733668341709,134,139,93,10,28,3
3,method,llm4cc-integrated,codellama:7b-instruct,0.926829268292683,136,139,95,12,26,3
4,method,llm4cc-clone_type,codellama:13b-instruct,0.9191919191919192,135,139,91,12,28,4
5,method,llm4cc-integrated,codellama:13b-instruct,0.914572864321608,134,139,91,13,26,4
6,method,llm4cc-clone_type,deepseek-coder:6.7b,0.8923076923076924,128,139,87,17,20,4
7,method,llm4cc-integrated,deepseek-coder:6.7b,0.8811881188118812,130,139,89,22,17,2
8,method,llm4cc-clone_type,codegemma:7b-instruct,0.9183673469387755,135,139,90,11,29,5
9,method,llm4cc-integrated,codegemma:7b-instruct,0.9183673469387755,134,139,90,12,28,4
10,method,llm4cc-clone_type,qwen2.5:7b,0.9454545454545454,105,109,78,3,18,6
11,method,llm4cc-integrated,qwen2.5:7b,0.9175257731958762,131,139,89,12,26,4
12,method,llm4cc-clone_type,qwen2.5-coder:7b,0.8923076923076924,136,139,87,12,28,9
13,method,llm4cc-integrated,qwen2.5-coder:7b,0.8808290155440415,135,139,85,13,27,10
14,method,llm4cc-clone_type,yi-coder:9b,0.8921568627450981,131,139,91,20,18,2
15,method,llm4cc-integrated,yi-coder:9b,0.912621359223301,137,139,94,15,25,3
16,method,llm4cc-clone_type,hermes3:8b,0.8704663212435233,134,139,84,15,25,10
17,method,llm4cc-integrated,hermes3:8b,0.8911917098445595,135,139,86,12,28,9
