,Processor,Prompt,Model,Tool,F1,Accuracy,Support,total,TP,FP,TN,FN
0,defaultpatch,llm4cc-clone_type-patch,gemini-flash,Arja,0.9504950495049505,0.9122807017543859,0.9824561403508771,57,48,4,4,1
1,defaultpatch,llm4cc-clone_type-patch,gemini-flash,Jaid,0.775,0.6785714285714286,0.8928571428571429,56,31,10,7,8
2,defaultpatch,llm4cc-clone_type-patch,gemini-flash,TBar,0.90625,0.85,0.975,40,29,2,5,4
3,defaultpatch,llm4cc-clone_type-patch,gemini-flash,FixMiner,0.8717948717948718,0.8,0.88,25,17,3,3,2
4,defaultpatch,llm4cc-clone_type-patch,gemini-flash,jKali,0.9032258064516129,0.8285714285714286,0.9714285714285714,35,28,3,1,3
5,defaultpatch,llm4cc-clone_type-patch,gemini-flash,Nopol,1.0,1.0,1.0,50,50,0,0,0
6,defaultpatch,llm4cc-clone_type-patch,gemini-flash,HDRepair,0.8888888888888888,0.875,0.875,8,4,1,3,0
7,defaultpatch,llm4cc-clone_type-patch,gemini-flash,ACS,0.45161290322580644,0.5277777777777778,0.8888888888888888,36,7,16,12,1
8,defaultpatch,llm4cc-clone_type-patch,gemini-flash,jGenProg,0.927536231884058,0.8648648648648649,0.918918918918919,37,32,4,0,1
9,defaultpatch,llm4cc-clone_type-patch,gemini-flash,SketchFix,0.7692307692307693,0.75,1.0,12,5,1,4,2
10,defaultpatch,llm4cc-clone_type-patch,gemini-flash,SimFix,0.8791208791208791,0.8103448275862069,0.9655172413793104,58,40,9,7,2
11,defaultpatch,llm4cc-clone_type-patch,gemini-flash,AVATAR,0.8888888888888888,0.8333333333333334,0.9259259259259259,54,36,8,9,1
12,defaultpatch,llm4cc-clone_type-patch,gemini-flash,GenProg,1.0,1.0,1.0,25,24,0,1,0
13,defaultpatch,llm4cc-clone_type-patch,gemini-flash,kPAR,0.9206349206349206,0.8529411764705882,0.9117647058823529,34,29,2,0,3
14,defaultpatch,llm4cc-clone_type-patch,gemini-flash,Cardumen,1.0,1.0,1.0,9,9,0,0,0
15,defaultpatch,llm4cc-clone_type-patch,gemini-flash,SequenceR,0.7540983606557377,0.6590909090909091,0.9090909090909091,44,23,2,6,13
16,defaultpatch,llm4cc-clone_type-patch,gemini-flash,Kali,0.9863013698630136,0.9736842105263158,1.0,38,36,1,1,0
17,defaultpatch,llm4cc-clone_type-patch,gemini-flash,DynaMoth,0.9767441860465116,0.9545454545454546,1.0,22,21,1,0,0
18,defaultpatch,llm4cc-clone_type-patch,gemini-flash,SOFix,0.2222222222222222,0.36363636363636365,0.7272727272727273,11,1,7,3,0
19,defaultpatch,llm4cc-clone_type-patch,gemini-flash,CapGen,0.9066666666666666,0.8541666666666666,0.8541666666666666,48,34,0,7,7
20,defaultpatch,llm4cc-clone_type-patch,gemini-flash,jMutRepair,0.9655172413793104,0.9375,1.0,16,14,1,1,0
21,defaultpatch,llm4cc-clone_type-patch,gemini-flash,RSRepair,0.9841269841269841,0.9696969696969697,1.0,33,31,1,1,0
