,Processor,Prompt,Model,Tool,F1,Accuracy,Support,total,TP,FP,TN,FN
0,defaultpatch,llm4cc-clone_type-patch,gemini-flash,Arja,0.96,0.9285714285714286,0.9824561403508771,57,48,4,4,0
1,defaultpatch,llm4cc-clone_type-patch,gemini-flash,Jaid,0.8378378378378378,0.76,0.8928571428571429,56,31,9,7,3
2,defaultpatch,llm4cc-clone_type-patch,gemini-flash,TBar,0.9206349206349206,0.8717948717948718,0.975,40,29,2,5,3
3,defaultpatch,llm4cc-clone_type-patch,gemini-flash,FixMiner,0.9444444444444444,0.9090909090909091,0.88,25,17,1,3,1
4,defaultpatch,llm4cc-clone_type-patch,gemini-flash,jKali,0.9180327868852459,0.8529411764705882,0.9714285714285714,35,28,3,1,2
5,defaultpatch,llm4cc-clone_type-patch,gemini-flash,Nopol,1.0,1.0,1.0,50,50,0,0,0
6,defaultpatch,llm4cc-clone_type-patch,gemini-flash,HDRepair,1.0,1.0,0.875,8,4,0,3,0
7,defaultpatch,llm4cc-clone_type-patch,gemini-flash,ACS,0.5185185185185185,0.59375,0.8888888888888888,36,7,12,12,1
8,defaultpatch,llm4cc-clone_type-patch,gemini-flash,jGenProg,0.9696969696969697,0.9411764705882353,0.918918918918919,37,32,2,0,0
9,defaultpatch,llm4cc-clone_type-patch,gemini-flash,SketchFix,0.7692307692307693,0.75,1.0,12,5,1,4,2
10,defaultpatch,llm4cc-clone_type-patch,gemini-flash,SimFix,0.898876404494382,0.8392857142857143,0.9655172413793104,58,40,7,7,2
11,defaultpatch,llm4cc-clone_type-patch,gemini-flash,AVATAR,0.935064935064935,0.9,0.9259259259259259,54,36,4,9,1
12,defaultpatch,llm4cc-clone_type-patch,gemini-flash,GenProg,1.0,1.0,1.0,25,24,0,1,0
13,defaultpatch,llm4cc-clone_type-patch,gemini-flash,kPAR,0.9666666666666667,0.9354838709677419,0.9117647058823529,34,29,1,0,1
14,defaultpatch,llm4cc-clone_type-patch,gemini-flash,Cardumen,1.0,1.0,1.0,9,9,0,0,0
15,defaultpatch,llm4cc-clone_type-patch,gemini-flash,SequenceR,0.8070175438596491,0.725,0.9090909090909091,44,23,2,6,9
16,defaultpatch,llm4cc-clone_type-patch,gemini-flash,Kali,0.9863013698630136,0.9736842105263158,1.0,38,36,1,1,0
17,defaultpatch,llm4cc-clone_type-patch,gemini-flash,DynaMoth,0.9767441860465116,0.9545454545454546,1.0,22,21,1,0,0
18,defaultpatch,llm4cc-clone_type-patch,gemini-flash,SOFix,0.3333333333333333,0.5,0.7272727272727273,11,1,4,3,0
19,defaultpatch,llm4cc-clone_type-patch,gemini-flash,CapGen,1.0,1.0,0.8541666666666666,48,34,0,7,0
20,defaultpatch,llm4cc-clone_type-patch,gemini-flash,jMutRepair,0.9655172413793104,0.9375,1.0,16,14,1,1,0
21,defaultpatch,llm4cc-clone_type-patch,gemini-flash,RSRepair,0.9841269841269841,0.9696969696969697,1.0,33,31,1,1,0
