,Model1,Model2,Prompt1,Prompt2,Processor1,Processor2,Kappa
0,magicoder:7b-s-cl,magicoder:7b-s-cl,llm4cc-clone_type,llm4cc-integrated,defaultpatch,defaultpatch,0.015919071058843715
1,magicoder:7b-s-cl,magicoder:7b-s-cl,llm4cc-clone_type,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.023935343487721528
2,magicoder:7b-s-cl,magicoder:7b-s-cl,llm4cc-clone_type,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.01641357587666714
3,magicoder:7b-s-cl,codellama:7b-instruct,llm4cc-clone_type,llm4cc-clone_type,defaultpatch,defaultpatch,0.011590352341836141
4,magicoder:7b-s-cl,codellama:7b-instruct,llm4cc-clone_type,llm4cc-integrated,defaultpatch,defaultpatch,-0.0021840313063201666
5,magicoder:7b-s-cl,codellama:7b-instruct,llm4cc-clone_type,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.016350979439857527
6,magicoder:7b-s-cl,codellama:7b-instruct,llm4cc-clone_type,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.01712635225530934
7,magicoder:7b-s-cl,codellama:13b-instruct,llm4cc-clone_type,llm4cc-clone_type,defaultpatch,defaultpatch,-0.02223670277755141
8,magicoder:7b-s-cl,codellama:13b-instruct,llm4cc-clone_type,llm4cc-integrated,defaultpatch,defaultpatch,-0.0010470134579534385
9,magicoder:7b-s-cl,codellama:13b-instruct,llm4cc-clone_type,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.05571329758979515
10,magicoder:7b-s-cl,codellama:13b-instruct,llm4cc-clone_type,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.043254847370350125
11,magicoder:7b-s-cl,deepseek-coder:6.7b,llm4cc-clone_type,llm4cc-clone_type,defaultpatch,defaultpatch,0.018810860639888016
12,magicoder:7b-s-cl,deepseek-coder:6.7b,llm4cc-clone_type,llm4cc-integrated,defaultpatch,defaultpatch,-0.04763418872765368
13,magicoder:7b-s-cl,deepseek-coder:6.7b,llm4cc-clone_type,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.009296769502441071
14,magicoder:7b-s-cl,deepseek-coder:6.7b,llm4cc-clone_type,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.0222478858416284
15,magicoder:7b-s-cl,codegemma:7b-instruct,llm4cc-clone_type,llm4cc-clone_type,defaultpatch,defaultpatch,0.011906784645345225
16,magicoder:7b-s-cl,codegemma:7b-instruct,llm4cc-clone_type,llm4cc-integrated,defaultpatch,defaultpatch,0.03423333779827409
