,Processor,Prompt,Model,Recall
0,defaultpatch,llm4cc-simple_prompt,magicoder:7b-s-cl,0.0020422055820285907
1,defaultpatch,llm4cc-reasoning,magicoder:7b-s-cl,0.13206262763784887
2,defaultpatch,llm4cc-similarity_line,magicoder:7b-s-cl,0.043567052416609936
3,defaultpatch,llm4cc-simple_prompt-patch,magicoder:7b-s-cl,0.023825731790333562
4,defaultpatch,llm4cc-reasoning-patch,magicoder:7b-s-cl,0.1191286589516678
5,defaultpatch,llm4cc-similarity_line-patch,magicoder:7b-s-cl,0.213070115724983
6,defaultpatch,llm4cc-simple_prompt-semantical,magicoder:7b-s-cl,0.23349217154526888
7,defaultpatch,llm4cc-reasoning-patch-semantical,magicoder:7b-s-cl,0.25799863852961197
8,defaultpatch,llm4cc-similarity_line-patch-semantical,magicoder:7b-s-cl,0.1817562968005446
9,defaultpatch,llm4cc-simple_prompt-identical,magicoder:7b-s-cl,0.213070115724983
10,defaultpatch,llm4cc-reasoning-patch-identical,magicoder:7b-s-cl,0.3417290673927842
11,defaultpatch,llm4cc-similarity_line-patch-identical,magicoder:7b-s-cl,0.168141592920354
12,defaultpatch,llm4cc-simple_prompt,codellama:7b-instruct,0.16133424098025867
13,defaultpatch,llm4cc-reasoning,codellama:7b-instruct,0.6759700476514636
14,defaultpatch,llm4cc-similarity_line,codellama:7b-instruct,0.04697072838665759
15,defaultpatch,llm4cc-simple_prompt-patch,codellama:7b-instruct,0.7181756296800544
16,defaultpatch,llm4cc-reasoning-patch,codellama:7b-instruct,0.6167460857726345
17,defaultpatch,llm4cc-similarity_line-patch,codellama:7b-instruct,0.005445881552076242
18,defaultpatch,llm4cc-simple_prompt-semantical,codellama:7b-instruct,0.16746085772634445
19,defaultpatch,llm4cc-reasoning-patch-semantical,codellama:7b-instruct,0.3662355343771273
20,defaultpatch,llm4cc-similarity_line-patch-semantical,codellama:7b-instruct,0.4084411164057182
21,defaultpatch,llm4cc-simple_prompt-identical,codellama:7b-instruct,0.014295439074200136
22,defaultpatch,llm4cc-reasoning-patch-identical,codellama:7b-instruct,0.6923076923076923
23,defaultpatch,llm4cc-similarity_line-patch-identical,codellama:7b-instruct,0.07556160653505786
24,defaultpatch,llm4cc-simple_prompt,codellama:13b-instruct,0.8366235534377128
25,defaultpatch,llm4cc-reasoning,codellama:13b-instruct,0.2920353982300885
26,defaultpatch,llm4cc-similarity_line,codellama:13b-instruct,0.02859087814840027
27,defaultpatch,llm4cc-simple_prompt-patch,codellama:13b-instruct,0.9646017699115044
28,defaultpatch,llm4cc-reasoning-patch,codellama:13b-instruct,0.3124574540503744
29,defaultpatch,llm4cc-similarity_line-patch,codellama:13b-instruct,0.016337644656228726
30,defaultpatch,llm4cc-simple_prompt-semantical,codellama:13b-instruct,0.17154526889040164
31,defaultpatch,llm4cc-reasoning-patch-semantical,codellama:13b-instruct,0.2702518720217835
32,defaultpatch,llm4cc-similarity_line-patch-semantical,codellama:13b-instruct,0.517358747447243
33,defaultpatch,llm4cc-simple_prompt-identical,codellama:13b-instruct,0.006126616746085773
34,defaultpatch,llm4cc-reasoning-patch-identical,codellama:13b-instruct,0.23485364193328795
35,defaultpatch,llm4cc-similarity_line-patch-identical,codellama:13b-instruct,0.6895847515316542
36,defaultpatch,llm4cc-simple_prompt,deepseek-coder:6.7b,0.07556160653505786
37,defaultpatch,llm4cc-reasoning,deepseek-coder:6.7b,0.6507828454731109
38,defaultpatch,llm4cc-similarity_line,deepseek-coder:6.7b,0.1756296800544588
39,defaultpatch,llm4cc-simple_prompt-patch,deepseek-coder:6.7b,0.49625595643294756
40,defaultpatch,llm4cc-reasoning-patch,deepseek-coder:6.7b,0.14363512593601088
41,defaultpatch,llm4cc-similarity_line-patch,deepseek-coder:6.7b,0.3859768550034037
42,defaultpatch,llm4cc-simple_prompt-semantical,deepseek-coder:6.7b,0.5908781484002723
43,defaultpatch,llm4cc-reasoning-patch-semantical,deepseek-coder:6.7b,0.5643294758339006
44,defaultpatch,llm4cc-similarity_line-patch-semantical,deepseek-coder:6.7b,0.6160653505786249
45,defaultpatch,llm4cc-simple_prompt-identical,deepseek-coder:6.7b,0.6344452008168823
46,defaultpatch,llm4cc-reasoning-patch-identical,deepseek-coder:6.7b,0.7719537100068073
47,defaultpatch,llm4cc-similarity_line-patch-identical,deepseek-coder:6.7b,0.7079646017699115
48,defaultpatch,llm4cc-simple_prompt,codegemma:7b-instruct,0.9496255956432947
49,defaultpatch,llm4cc-reasoning,codegemma:7b-instruct,0.7964601769911505
50,defaultpatch,llm4cc-similarity_line,codegemma:7b-instruct,0.32402995234853643
51,defaultpatch,llm4cc-simple_prompt-patch,codegemma:7b-instruct,0.9795779441797141
52,defaultpatch,llm4cc-reasoning-patch,codegemma:7b-instruct,0.9400953029271614
53,defaultpatch,llm4cc-similarity_line-patch,codegemma:7b-instruct,0.3669162695711368
54,defaultpatch,llm4cc-simple_prompt-semantical,codegemma:7b-instruct,0.998638529611981
55,defaultpatch,llm4cc-reasoning-patch-semantical,codegemma:7b-instruct,0.8978897208985704
56,defaultpatch,llm4cc-similarity_line-patch-semantical,codegemma:7b-instruct,0.5336963921034718
57,defaultpatch,llm4cc-simple_prompt-identical,codegemma:7b-instruct,0.9264805990469708
58,defaultpatch,llm4cc-reasoning-patch-identical,codegemma:7b-instruct,0.729067392784207
59,defaultpatch,llm4cc-similarity_line-patch-identical,codegemma:7b-instruct,0.6351259360108917
60,defaultpatch,llm4cc-simple_prompt,qwen2.5:7b,0.8083927157561361
61,defaultpatch,llm4cc-reasoning,qwen2.5:7b,0.5114806017418844
62,defaultpatch,llm4cc-similarity_line,qwen2.5:7b,0.5534441805225653
63,defaultpatch,llm4cc-simple_prompt-patch,qwen2.5:7b,0.8099762470308789
64,defaultpatch,llm4cc-reasoning-patch,qwen2.5:7b,0.4505146476642914
65,defaultpatch,llm4cc-similarity_line-patch,qwen2.5:7b,0.6927949326999209
66,defaultpatch,llm4cc-simple_prompt-semantical,qwen2.5:7b,0.8218527315914489
67,defaultpatch,llm4cc-reasoning-patch-semantical,qwen2.5:7b,0.6128266033254157
68,defaultpatch,llm4cc-similarity_line-patch-semantical,qwen2.5:7b,0.43942992874109266
69,defaultpatch,llm4cc-simple_prompt-identical,qwen2.5:7b,0.16864608076009502
70,defaultpatch,llm4cc-reasoning-patch-identical,qwen2.5:7b,0.38163103721298497
71,defaultpatch,llm4cc-similarity_line-patch-identical,qwen2.5:7b,0.5114806017418844
72,defaultpatch,llm4cc-simple_prompt,qwen2.5-coder:7b,0.8709422011084719
73,defaultpatch,llm4cc-reasoning,qwen2.5-coder:7b,0.47268408551068886
74,defaultpatch,llm4cc-similarity_line,qwen2.5-coder:7b,0.8242280285035629
75,defaultpatch,llm4cc-simple_prompt-patch,qwen2.5-coder:7b,0.8796516231195566
76,defaultpatch,llm4cc-reasoning-patch,qwen2.5-coder:7b,0.4283452098178939
77,defaultpatch,llm4cc-similarity_line-patch,qwen2.5-coder:7b,0.8266033254156769
78,defaultpatch,llm4cc-simple_prompt-semantical,qwen2.5-coder:7b,0.8566904196357878
79,defaultpatch,llm4cc-reasoning-patch-semantical,qwen2.5-coder:7b,0.7830562153602534
80,defaultpatch,llm4cc-similarity_line-patch-semantical,qwen2.5-coder:7b,0.8463974663499604
81,defaultpatch,llm4cc-simple_prompt-identical,qwen2.5-coder:7b,0.5312747426761678
82,defaultpatch,llm4cc-reasoning-patch-identical,qwen2.5-coder:7b,0.5605700712589073
83,defaultpatch,llm4cc-similarity_line-patch-identical,qwen2.5-coder:7b,0.7371338083927158
84,defaultpatch,llm4cc-simple_prompt,yi-coder:9b,0.022169437846397466
85,defaultpatch,llm4cc-reasoning,yi-coder:9b,0.038796516231195566
86,defaultpatch,llm4cc-similarity_line,yi-coder:9b,0.028503562945368172
87,defaultpatch,llm4cc-simple_prompt-patch,yi-coder:9b,0.015043547110055424
88,defaultpatch,llm4cc-reasoning-patch,yi-coder:9b,0.20902612826603326
89,defaultpatch,llm4cc-similarity_line-patch,yi-coder:9b,0.028503562945368172
90,defaultpatch,llm4cc-simple_prompt-semantical,yi-coder:9b,0.19319081551860648
91,defaultpatch,llm4cc-reasoning-patch-semantical,yi-coder:9b,0.4140934283452098
92,defaultpatch,llm4cc-similarity_line-patch-semantical,yi-coder:9b,0.0768012668250198
93,defaultpatch,llm4cc-simple_prompt-identical,yi-coder:9b,0.09026128266033254
94,defaultpatch,llm4cc-reasoning-patch-identical,yi-coder:9b,0.31353919239904987
95,defaultpatch,llm4cc-similarity_line-patch-identical,yi-coder:9b,0.07363420427553444
96,defaultpatch,llm4cc-simple_prompt,hermes3:8b,0.9992082343626286
97,defaultpatch,llm4cc-reasoning,hermes3:8b,0.782264449722882
98,defaultpatch,llm4cc-similarity_line,hermes3:8b,0.8772763262074426
99,defaultpatch,llm4cc-simple_prompt-patch,hermes3:8b,0.9897070467141726
100,defaultpatch,llm4cc-reasoning-patch,hermes3:8b,0.3784639746634996
101,defaultpatch,llm4cc-similarity_line-patch,hermes3:8b,0.8266033254156769
102,defaultpatch,llm4cc-simple_prompt-semantical,hermes3:8b,0.8939034045922407
103,defaultpatch,llm4cc-reasoning-patch-semantical,hermes3:8b,0.669833729216152
104,defaultpatch,llm4cc-similarity_line-patch-semantical,hermes3:8b,0.5288994457640538
105,defaultpatch,llm4cc-simple_prompt-identical,hermes3:8b,0.09105304829770387
106,defaultpatch,llm4cc-reasoning-patch-identical,hermes3:8b,0.8068091844813935
107,defaultpatch,llm4cc-similarity_line-patch-identical,hermes3:8b,0.12589073634204276
108,method,llm4cc-simple_prompt,magicoder:7b-s-cl,0.1814580031695721
109,method,llm4cc-reasoning,magicoder:7b-s-cl,0.16957210776545167
110,method,llm4cc-similarity_line,magicoder:7b-s-cl,0.1664025356576862
111,method,llm4cc-simple_prompt-patch,magicoder:7b-s-cl,0.2662440570522979
112,method,llm4cc-reasoning-patch,magicoder:7b-s-cl,0.205229793977813
113,method,llm4cc-similarity_line-patch,magicoder:7b-s-cl,0.19334389857369255
