,Processor,Prompt,Model,Recall_type-1,Recall_type-2,Recall_type-3,Recall_type-4
0,defaultpatch,llm4cc-clone_type,magicoder:7b-s-cl,0.3867924528301887,0.5666666666666667,0.019895287958115182,0.020618556701030927
1,defaultpatch,llm4cc-integrated,magicoder:7b-s-cl,0.1792452830188679,0.7666666666666667,0.01780104712041885,0.020618556701030927
2,defaultpatch,llm4cc-clone_type-patch,magicoder:7b-s-cl,0.44339622641509435,0.36666666666666664,0.03769633507853403,0.041237113402061855
3,defaultpatch,llm4cc-integrated-patch,magicoder:7b-s-cl,0.20125786163522014,0.6666666666666666,0.03664921465968586,0.13402061855670103
4,defaultpatch,llm4cc-clone_type,codellama:7b-instruct,0.5911949685534591,0.26666666666666666,0.05130890052356021,0.16494845360824742
5,defaultpatch,llm4cc-integrated,codellama:7b-instruct,0.2672955974842767,0.5333333333333333,0.02617801047120419,0.05154639175257732
6,defaultpatch,llm4cc-clone_type-patch,codellama:7b-instruct,0.5974842767295597,0.2,0.050261780104712044,0.14432989690721648
7,defaultpatch,llm4cc-integrated-patch,codellama:7b-instruct,0.37735849056603776,0.5,0.033507853403141365,0.09278350515463918
8,defaultpatch,llm4cc-clone_type,codellama:13b-instruct,0.27358490566037735,0.6,0.020942408376963352,0.0
9,defaultpatch,llm4cc-integrated,codellama:13b-instruct,0.2672955974842767,0.6,0.020942408376963352,0.030927835051546393
10,defaultpatch,llm4cc-clone_type-patch,codellama:13b-instruct,0.46855345911949686,0.7,0.010471204188481676,0.020618556701030927
11,defaultpatch,llm4cc-integrated-patch,codellama:13b-instruct,0.3522012578616352,0.43333333333333335,0.027225130890052355,0.09278350515463918
12,defaultpatch,llm4cc-clone_type,deepseek-coder:6.7b,0.39622641509433965,0.4666666666666667,0.17172774869109947,0.07216494845360824
13,defaultpatch,llm4cc-integrated,deepseek-coder:6.7b,0.4025157232704403,0.36666666666666664,0.05340314136125655,0.041237113402061855
14,defaultpatch,llm4cc-clone_type-patch,deepseek-coder:6.7b,0.34591194968553457,0.26666666666666666,0.3183246073298429,0.12371134020618557
15,defaultpatch,llm4cc-integrated-patch,deepseek-coder:6.7b,0.5031446540880503,0.4666666666666667,0.04607329842931937,0.041237113402061855
16,defaultpatch,llm4cc-clone_type,codegemma:7b-instruct,0.06289308176100629,0.36666666666666664,0.8691099476439791,0.030927835051546393
17,defaultpatch,llm4cc-integrated,codegemma:7b-instruct,0.36792452830188677,0.5666666666666667,0.0010471204188481676,0.010309278350515464
18,defaultpatch,llm4cc-clone_type-patch,codegemma:7b-instruct,0.07232704402515723,0.4,0.724607329842932,0.010309278350515464
19,defaultpatch,llm4cc-integrated-patch,codegemma:7b-instruct,0.5660377358490566,0.43333333333333335,0.0,0.010309278350515464
20,defaultpatch,llm4cc-clone_type,qwen2.5:7b,0.426056338028169,0.4,0.2823397075365579,0.18461538461538463
21,defaultpatch,llm4cc-integrated,qwen2.5:7b,0.45422535211267606,0.12,0.21934758155230596,0.4
22,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,0.4507042253521127,0.12,0.2643419572553431,0.23076923076923078
23,defaultpatch,llm4cc-integrated-patch,qwen2.5:7b,0.4859154929577465,0.16,0.11023622047244094,0.18461538461538463
24,defaultpatch,llm4cc-clone_type,qwen2.5-coder:7b,0.778169014084507,0.04,0.00562429696287964,0.0
25,defaultpatch,llm4cc-integrated,qwen2.5-coder:7b,0.49295774647887325,0.36,0.0022497187851518562,0.06153846153846154
26,defaultpatch,llm4cc-clone_type-patch,qwen2.5-coder:7b,0.7288732394366197,0.12,0.00562429696287964,0.0
27,defaultpatch,llm4cc-integrated-patch,qwen2.5-coder:7b,0.5633802816901409,0.16,0.003374578177727784,0.06153846153846154
28,defaultpatch,llm4cc-clone_type,yi-coder:9b,0.19014084507042253,0.56,0.1597300337457818,0.09230769230769231
29,defaultpatch,llm4cc-integrated,yi-coder:9b,0.25704225352112675,0.56,0.008998875140607425,0.046153846153846156
30,defaultpatch,llm4cc-clone_type-patch,yi-coder:9b,0.3485915492957746,0.4,0.05736782902137233,0.12307692307692308
31,defaultpatch,llm4cc-integrated-patch,yi-coder:9b,0.28169014084507044,0.4,0.049493813273340834,0.15384615384615385
32,defaultpatch,llm4cc-clone_type,hermes3:8b,0.007042253521126761,0.0,0.008998875140607425,0.8461538461538461
33,defaultpatch,llm4cc-integrated,hermes3:8b,0.602112676056338,0.08,0.01124859392575928,0.3230769230769231
34,defaultpatch,llm4cc-clone_type-patch,hermes3:8b,0.014084507042253521,0.04,0.05061867266591676,0.6307692307692307
35,defaultpatch,llm4cc-integrated-patch,hermes3:8b,0.47183098591549294,0.08,0.03824521934758155,0.2923076923076923
36,method,llm4cc-clone_type,magicoder:7b-s-cl,0.7077464788732394,0.04,0.007882882882882882,0.12307692307692308
37,method,llm4cc-integrated,magicoder:7b-s-cl,0.29225352112676056,0.48,0.04054054054054054,0.13846153846153847
38,method,llm4cc-clone_type-patch,magicoder:7b-s-cl,0.721830985915493,0.04,0.0022522522522522522,0.1076923076923077
39,method,llm4cc-integrated-patch,magicoder:7b-s-cl,0.31338028169014087,0.44,0.02702702702702703,0.18461538461538463
40,method,llm4cc-clone_type,codellama:7b-instruct,0.6971830985915493,0.0,0.039414414414414414,0.09230769230769231
41,method,llm4cc-integrated,codellama:7b-instruct,0.4084507042253521,0.52,0.04391891891891892,0.1076923076923077
42,method,llm4cc-clone_type-patch,codellama:7b-instruct,0.6866197183098591,0.2,0.041666666666666664,0.16923076923076924
43,method,llm4cc-integrated-patch,codellama:7b-instruct,0.4894366197183099,0.2,0.039414414414414414,0.2
44,method,llm4cc-clone_type,codellama:13b-instruct,0.721830985915493,0.04,0.05518018018018018,0.046153846153846156
45,method,llm4cc-integrated,codellama:13b-instruct,0.36619718309859156,0.56,0.07545045045045046,0.1076923076923077
46,method,llm4cc-clone_type-patch,codellama:13b-instruct,0.8415492957746479,0.12,0.06981981981981981,0.015384615384615385
47,method,llm4cc-integrated-patch,codellama:13b-instruct,0.43661971830985913,0.36,0.06644144144144144,0.09230769230769231
48,method,llm4cc-clone_type,deepseek-coder:6.7b,0.6056338028169014,0.28,0.016891891891891893,0.06153846153846154
49,method,llm4cc-integrated,deepseek-coder:6.7b,0.4788732394366197,0.44,0.0022522522522522522,0.03076923076923077
50,method,llm4cc-clone_type-patch,deepseek-coder:6.7b,0.7711267605633803,0.04,0.0033783783783783786,0.1076923076923077
51,method,llm4cc-integrated-patch,deepseek-coder:6.7b,0.5316901408450704,0.56,0.0022522522522522522,0.06153846153846154
52,method,llm4cc-clone_type,codegemma:7b-instruct,0.9577464788732394,0.04,0.0,0.09230769230769231
53,method,llm4cc-integrated,codegemma:7b-instruct,0.7359154929577465,0.32,0.0,0.09230769230769231
54,method,llm4cc-clone_type-patch,codegemma:7b-instruct,0.9612676056338029,0.0,0.0011261261261261261,0.046153846153846156
55,method,llm4cc-integrated-patch,codegemma:7b-instruct,0.7676056338028169,0.36,0.0011261261261261261,0.06153846153846154
56,method,llm4cc-clone_type,qwen2.5:7b,0.7464788732394366,0.24,0.0033783783783783786,0.13846153846153847
57,method,llm4cc-integrated,qwen2.5:7b,0.5070422535211268,0.04,0.06306306306306306,0.26153846153846155
58,method,llm4cc-clone_type-patch,qwen2.5:7b,0.7359154929577465,0.04,0.0,0.12307692307692308
59,method,llm4cc-integrated-patch,qwen2.5:7b,0.5070422535211268,0.2,0.04279279279279279,0.18461538461538463
60,method,llm4cc-clone_type,qwen2.5-coder:7b,0.9964788732394366,0.0,0.0,0.06153846153846154
61,method,llm4cc-integrated,qwen2.5-coder:7b,0.6408450704225352,0.2,0.019144144144144143,0.23076923076923078
62,method,llm4cc-clone_type-patch,qwen2.5-coder:7b,0.9929577464788732,0.0,0.0,0.03076923076923077
63,method,llm4cc-integrated-patch,qwen2.5-coder:7b,0.7007042253521126,0.36,0.016891891891891893,0.18461538461538463
64,method,llm4cc-clone_type,yi-coder:9b,0.6161971830985915,0.16,0.02252252252252252,0.18461538461538463
65,method,llm4cc-integrated,yi-coder:9b,0.5176056338028169,0.48,0.013513513513513514,0.06153846153846154
66,method,llm4cc-clone_type-patch,yi-coder:9b,0.6514084507042254,0.2,0.018018018018018018,0.27692307692307694
67,method,llm4cc-integrated-patch,yi-coder:9b,0.5422535211267606,0.44,0.016891891891891893,0.06153846153846154
68,method,llm4cc-clone_type,hermes3:8b,0.017605633802816902,0.12,0.0033783783783783786,0.8923076923076924
69,method,llm4cc-integrated,hermes3:8b,0.704225352112676,0.04,0.01126126126126126,0.13846153846153847
70,method,llm4cc-clone_type-patch,hermes3:8b,0.035211267605633804,0.12,0.13175675675675674,0.7846153846153846
71,method,llm4cc-integrated-patch,hermes3:8b,0.6197183098591549,0.08,0.02927927927927928,0.16923076923076924
