,Processor,Prompt,Model,F1,Support,TP,FP,TN,FN
0,defaultpatch,llm4cc-simple_prompt-semantical,deepseek-coder:6.7b,0.7677543186180422,2990,600,0,2027,363
1,defaultpatch,llm4cc-reasoning-patch-semantical,deepseek-coder:6.7b,0.7452768729641693,2868,572,0,1905,391
2,defaultpatch,llm4cc-similarity_line-patch-semantical,deepseek-coder:6.7b,0.6942372881355933,2767,512,0,1804,451
3,defaultpatch,llm4cc-simple_prompt-identical,deepseek-coder:6.7b,0.8133086876155268,3087,660,0,2124,303
4,defaultpatch,llm4cc-reasoning-patch-identical,deepseek-coder:6.7b,0.8176795580110497,3206,666,0,2243,297
5,defaultpatch,llm4cc-similarity_line-patch-identical,deepseek-coder:6.7b,0.7370491803278688,2776,562,0,1813,401
6,defaultpatch,llm4cc-simple_prompt-semantical,qwen2.5-coder:7b,0.5230061349693251,1144,341,0,181,622
7,defaultpatch,llm4cc-reasoning-patch-semantical,qwen2.5-coder:7b,0.7108433734939759,2024,531,0,1061,432
8,defaultpatch,llm4cc-similarity_line-patch-semantical,qwen2.5-coder:7b,0.8205756276791182,2286,670,0,1323,293
9,defaultpatch,llm4cc-simple_prompt-identical,qwen2.5-coder:7b,0.49295774647887325,1061,315,0,98,648
10,defaultpatch,llm4cc-reasoning-patch-identical,qwen2.5-coder:7b,0.5573033707865168,1525,372,0,562,591
11,defaultpatch,llm4cc-similarity_line-patch-identical,qwen2.5-coder:7b,0.5648286140089419,1401,379,0,438,584
12,defaultpatch,llm4cc-simple_prompt-semantical,hermes3:8b,0.7073825503355705,2232,527,0,1269,436
13,defaultpatch,llm4cc-reasoning-patch-semantical,hermes3:8b,0.7125668449197861,2158,533,0,1195,430
14,defaultpatch,llm4cc-similarity_line-patch-semantical,hermes3:8b,0.6951219512195121,2250,513,0,1287,450
15,defaultpatch,llm4cc-simple_prompt-identical,hermes3:8b,0.1949390815370197,1032,104,0,69,859
16,defaultpatch,llm4cc-reasoning-patch-identical,hermes3:8b,0.5518796992481203,1490,367,0,527,596
17,defaultpatch,llm4cc-similarity_line-patch-identical,hermes3:8b,0.3000882612533098,1235,170,0,272,793
