,Processor,Prompt,Model,F1,Support,TP,FP,TN,FN
0,method,llm4cc-simple_prompt-semantical,magicoder:7b-s-cl,0.788979336255479,2050,630,0,1083,337
1,method,llm4cc-reasoning-patch-semantical,magicoder:7b-s-cl,0.7301378857518056,2033,556,0,1066,411
2,method,llm4cc-similarity_line-patch-semantical,magicoder:7b-s-cl,0.7392438070404173,2091,567,0,1124,400
3,method,llm4cc-simple_prompt-identical,magicoder:7b-s-cl,0.7920049968769519,2172,634,0,1205,333
4,method,llm4cc-reasoning-patch-identical,magicoder:7b-s-cl,0.676249144421629,2063,494,0,1096,473
5,method,llm4cc-similarity_line-patch-identical,magicoder:7b-s-cl,0.6897018970189702,1992,509,0,1025,458
6,method,llm4cc-simple_prompt-semantical,codellama:7b-instruct,0.7542043984476067,2323,583,0,1360,380
7,method,llm4cc-reasoning-patch-semantical,codellama:7b-instruct,0.768542199488491,2595,601,0,1632,362
8,method,llm4cc-similarity_line-patch-semantical,codellama:7b-instruct,0.6446164672765659,2401,458,0,1438,505
9,method,llm4cc-simple_prompt-identical,codellama:7b-instruct,0.8154981549815498,2255,663,0,1292,300
10,method,llm4cc-reasoning-patch-identical,codellama:7b-instruct,0.8756567425569177,2871,750,0,1908,213
11,method,llm4cc-similarity_line-patch-identical,codellama:7b-instruct,0.7833228048010107,2360,620,0,1397,343
12,method,llm4cc-simple_prompt-semantical,codellama:13b-instruct,0.9056818181818181,2676,797,0,1713,166
13,method,llm4cc-reasoning-patch-semantical,codellama:13b-instruct,0.8147692307692308,2787,662,0,1824,301
14,method,llm4cc-similarity_line-patch-semantical,codellama:13b-instruct,0.875,2842,749,0,1879,214
15,method,llm4cc-simple_prompt-identical,codellama:13b-instruct,0.8867052023121387,2121,767,0,1158,196
16,method,llm4cc-reasoning-patch-identical,codellama:13b-instruct,0.8710433763188745,3059,743,0,2096,220
17,method,llm4cc-similarity_line-patch-identical,codellama:13b-instruct,0.8348457350272233,2819,690,0,1856,273
18,method,llm4cc-simple_prompt-semantical,deepseek-coder:6.7b,0.7194148936170213,2170,541,0,1207,422
19,method,llm4cc-reasoning-patch-semantical,deepseek-coder:6.7b,0.768542199488491,2273,601,0,1310,362
20,method,llm4cc-similarity_line-patch-semantical,deepseek-coder:6.7b,0.7337278106508875,2189,558,0,1226,405
21,method,llm4cc-simple_prompt-identical,deepseek-coder:6.7b,0.6446164672765659,2083,458,0,1120,505
22,method,llm4cc-reasoning-patch-identical,deepseek-coder:6.7b,0.8390596745027125,2488,696,0,1525,267
