,Processor,Prompt,Model,F1,Acc,Support,Total,TP,FP,TN,FN
0,defaultpatch,llm4cc-simple_prompt-semantical,magicoder:7b-s-cl,0.8785046728971962,0.8015267175572519,131,139,94,25,11,1
1,defaultpatch,llm4cc-reasoning-patch-semantical,magicoder:7b-s-cl,0.8446601941747572,0.746031746031746,126,139,87,29,7,3
2,defaultpatch,llm4cc-similarity_line-patch-semantical,magicoder:7b-s-cl,0.8294930875576036,0.7153846153846154,130,139,90,34,3,3
3,defaultpatch,llm4cc-simple_prompt-identical,magicoder:7b-s-cl,0.8878504672897196,0.8208955223880597,134,139,95,23,15,1
4,defaultpatch,llm4cc-reasoning-patch-identical,magicoder:7b-s-cl,0.9134615384615384,0.8636363636363636,132,139,95,18,19,0
5,defaultpatch,llm4cc-similarity_line-patch-identical,magicoder:7b-s-cl,0.8317757009345794,0.71875,128,139,89,34,3,2
6,defaultpatch,llm4cc-simple_prompt-semantical,codellama:7b-instruct,0.8282828282828283,0.7258064516129032,124,139,82,32,8,2
7,defaultpatch,llm4cc-reasoning-patch-semantical,codellama:7b-instruct,0.8815165876777251,0.8091603053435115,131,139,93,24,13,1
8,defaultpatch,llm4cc-similarity_line-patch-semantical,codellama:7b-instruct,0.8476190476190476,0.751937984496124,129,139,89,29,8,3
9,defaultpatch,llm4cc-simple_prompt-identical,codellama:7b-instruct,0.8,0.6666666666666666,120,139,80,40,0,0
10,defaultpatch,llm4cc-reasoning-patch-identical,codellama:7b-instruct,0.9029126213592233,0.8484848484848485,132,139,93,17,19,3
11,defaultpatch,llm4cc-similarity_line-patch-identical,codellama:7b-instruct,0.8502415458937198,0.7596899224806202,129,139,88,29,10,2
12,defaultpatch,llm4cc-simple_prompt-semantical,codellama:13b-instruct,0.8484848484848485,0.7580645161290323,124,139,84,27,10,3
13,defaultpatch,llm4cc-reasoning-patch-semantical,codellama:13b-instruct,0.8888888888888888,0.8294573643410853,129,139,88,18,19,4
14,defaultpatch,llm4cc-similarity_line-patch-semantical,codellama:13b-instruct,0.8975609756097561,0.8384615384615385,130,139,92,19,17,2
15,defaultpatch,llm4cc-simple_prompt-identical,codellama:13b-instruct,0.7979274611398963,0.6666666666666666,117,139,77,39,1,0
16,defaultpatch,llm4cc-reasoning-patch-identical,codellama:13b-instruct,0.845771144278607,0.7578125,128,139,85,25,12,6
