,Processor,Prompt,Model,F1,Support,Total,TP,FP,TN,FN
0,method,llm4cc-clone_type,magicoder:7b-s-cl,0.6060606060606061,100,109,10,0,77,13
1,method,llm4cc-integrated,magicoder:7b-s-cl,0.5818181818181818,131,139,16,2,92,21
2,method,llm4cc-clone_type,codellama:7b-instruct,0.8115942028985508,134,139,28,3,93,10
3,method,llm4cc-integrated,codellama:7b-instruct,0.7761194029850746,136,139,26,3,95,12
4,method,llm4cc-clone_type,codellama:13b-instruct,0.7777777777777778,135,139,28,4,91,12
5,method,llm4cc-integrated,codellama:13b-instruct,0.7536231884057971,134,139,26,4,91,13
6,method,llm4cc-clone_type,deepseek-coder:6.7b,0.6557377049180327,128,139,20,4,87,17
7,method,llm4cc-integrated,deepseek-coder:6.7b,0.5862068965517241,130,139,17,2,89,22
8,method,llm4cc-clone_type,codegemma:7b-instruct,0.7837837837837838,135,139,29,5,90,11
9,method,llm4cc-integrated,codegemma:7b-instruct,0.7777777777777778,134,139,28,4,90,12
10,method,llm4cc-clone_type,qwen2.5:7b,0.8,105,109,18,6,78,3
11,method,llm4cc-integrated,qwen2.5:7b,0.7647058823529411,131,139,26,4,89,12
12,method,llm4cc-clone_type,qwen2.5-coder:7b,0.7272727272727273,136,139,28,9,87,12
13,method,llm4cc-integrated,qwen2.5-coder:7b,0.7012987012987013,135,139,27,10,85,13
14,method,llm4cc-clone_type,yi-coder:9b,0.6206896551724138,131,139,18,2,91,20
15,method,llm4cc-integrated,yi-coder:9b,0.7352941176470589,137,139,25,3,94,15
16,method,llm4cc-clone_type,hermes3:8b,0.6666666666666666,134,139,25,10,84,15
17,method,llm4cc-integrated,hermes3:8b,0.7272727272727273,135,139,28,9,86,12
