,Processor,Prompt,Model,F1,Support,TP,FP,TN,FN
0,method,llm4cc-clone_type,magicoder:7b-s-cl,0.5659655831739961,1084,148,0,709,227
1,method,llm4cc-integrated,magicoder:7b-s-cl,0.78580814717477,2745,598,0,1821,326
2,method,llm4cc-clone_type,codellama:7b-instruct,0.9361702127659575,2996,770,0,2121,105
3,method,llm4cc-integrated,codellama:7b-instruct,0.8922539312754805,2892,766,0,1941,185
4,method,llm4cc-clone_type,codellama:13b-instruct,0.9570484581497798,3510,869,0,2563,78
5,method,llm4cc-integrated,codellama:13b-instruct,0.8694052728387492,2739,709,0,1817,213
6,method,llm4cc-clone_type,deepseek-coder:6.7b,0.7146853146853147,2153,511,0,1234,408
7,method,llm4cc-integrated,deepseek-coder:6.7b,0.6010286554004408,2274,409,0,1322,543
8,method,llm4cc-clone_type,codegemma:7b-instruct,0.9705882352941176,3109,858,0,2199,52
9,method,llm4cc-integrated,codegemma:7b-instruct,0.9824753559693319,3749,897,0,2820,32
10,method,llm4cc-clone_type,qwen2.5:7b,0.9718120805369127,3276,362,0,2893,21
11,method,llm4cc-integrated,qwen2.5:7b,0.9851708575112831,3237,764,0,2450,23
12,method,llm4cc-clone_type,qwen2.5-coder:7b,0.9802455953016551,3320,918,0,2365,37
13,method,llm4cc-integrated,qwen2.5-coder:7b,0.9832703723691312,3443,911,0,2501,31
14,method,llm4cc-clone_type,yi-coder:9b,0.7727272727272727,2132,578,0,1214,340
15,method,llm4cc-integrated,yi-coder:9b,0.8340865074241446,2602,646,0,1699,257
16,method,llm4cc-clone_type,hermes3:8b,0.9636462289744981,3459,888,0,2504,67
17,method,llm4cc-integrated,hermes3:8b,0.9686147186147186,3380,895,0,2427,58
