,Processor,Prompt,Model,F1,Support,Total,TP,FP,TN,FN
0,method,llm4cc-clone_type,magicoder:7b-s-cl,0.6470588235294118,74,109,11,0,51,12
1,method,llm4cc-integrated,magicoder:7b-s-cl,0.819672131147541,132,139,25,0,96,11
2,method,llm4cc-clone_type,codellama:7b-instruct,0.9866666666666667,133,139,37,0,95,1
3,method,llm4cc-integrated,codellama:7b-instruct,1.0,134,139,40,0,94,0
4,method,llm4cc-clone_type,codellama:13b-instruct,0.9743589743589743,136,139,38,0,96,2
5,method,llm4cc-integrated,codellama:13b-instruct,0.961038961038961,133,139,37,0,93,3
6,method,llm4cc-clone_type,deepseek-coder:6.7b,0.8529411764705882,120,139,29,0,81,10
7,method,llm4cc-integrated,deepseek-coder:6.7b,0.6551724137931034,122,139,19,0,83,20
8,method,llm4cc-clone_type,codegemma:7b-instruct,0.9743589743589743,129,139,38,0,89,2
9,method,llm4cc-integrated,codegemma:7b-instruct,1.0,136,139,40,0,96,0
10,method,llm4cc-clone_type,qwen2.5:7b,0.9545454545454546,103,109,21,0,80,2
11,method,llm4cc-integrated,qwen2.5:7b,1.0,137,139,40,0,97,0
12,method,llm4cc-clone_type,qwen2.5-coder:7b,0.9743589743589743,130,139,38,0,90,2
13,method,llm4cc-integrated,qwen2.5-coder:7b,1.0,133,139,40,0,93,0
14,method,llm4cc-clone_type,yi-coder:9b,0.7213114754098361,122,139,22,0,83,17
15,method,llm4cc-integrated,yi-coder:9b,0.8571428571428571,132,139,30,0,92,10
16,method,llm4cc-clone_type,hermes3:8b,0.9459459459459459,134,139,35,0,95,4
17,method,llm4cc-integrated,hermes3:8b,1.0,135,139,40,0,95,0
