,Processor,Prompt,Model,F1,Support,Total,TP,FP,TN,FN
0,defaultpatch,llm4cc-clone_type-patch,magicoder:7b-s-cl,0.2727272727272727,129,139,6,0,91,32
1,defaultpatch,llm4cc-integrated-patch,magicoder:7b-s-cl,0.6666666666666666,134,139,20,2,94,18
2,defaultpatch,llm4cc-clone_type-patch,codellama:7b-instruct,0.6551724137931034,132,139,19,1,93,19
3,defaultpatch,llm4cc-integrated-patch,codellama:7b-instruct,0.5517241379310345,135,139,16,4,93,22
4,defaultpatch,llm4cc-clone_type-patch,codellama:13b-instruct,0.7567567567567568,135,139,28,8,89,10
5,defaultpatch,llm4cc-integrated-patch,codellama:13b-instruct,0.684931506849315,138,139,25,8,90,15
6,defaultpatch,llm4cc-clone_type-patch,deepseek-coder:6.7b,0.4583333333333333,123,139,11,4,86,22
7,defaultpatch,llm4cc-integrated-patch,deepseek-coder:6.7b,0.7096774193548387,135,139,22,2,95,16
8,defaultpatch,llm4cc-clone_type-patch,codegemma:7b-instruct,0.7096774193548387,122,139,22,6,82,12
9,defaultpatch,llm4cc-integrated-patch,codegemma:7b-instruct,0.7222222222222222,136,139,26,8,90,12
10,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,0.875,132,139,28,1,96,7
11,defaultpatch,llm4cc-integrated-patch,qwen2.5:7b,0.7368421052631579,136,139,28,8,88,12
12,defaultpatch,llm4cc-clone_type-patch,qwen2.5-coder:7b,0.8615384615384616,128,139,28,1,91,8
13,defaultpatch,llm4cc-integrated-patch,qwen2.5-coder:7b,0.75,135,139,27,6,90,12
14,defaultpatch,llm4cc-clone_type-patch,yi-coder:9b,0.0,89,107,0,2,65,22
15,defaultpatch,llm4cc-integrated-patch,yi-coder:9b,0.7894736842105263,99,107,15,2,76,6
16,defaultpatch,llm4cc-clone_type-patch,hermes3:8b,0.8235294117647058,126,139,28,6,86,6
17,defaultpatch,llm4cc-integrated-patch,hermes3:8b,0.8055555555555556,133,139,29,4,90,10
