,Processor,Prompt,Model,F1,Acc,Support,Total,TP,FP,TN,FN
0,defaultpatch,llm4cc-clone_type-patch,magicoder:7b-s-cl,0.8504672897196262,0.751937984496124,129,139,91,32,6,0
1,defaultpatch,llm4cc-integrated-patch,magicoder:7b-s-cl,0.9038461538461539,0.8507462686567164,134,139,94,18,20,2
2,defaultpatch,llm4cc-clone_type-patch,codellama:7b-instruct,0.9029126213592233,0.8484848484848485,132,139,93,19,19,1
3,defaultpatch,llm4cc-integrated-patch,codellama:7b-instruct,0.8773584905660378,0.8074074074074075,135,139,93,22,16,4
4,defaultpatch,llm4cc-clone_type-patch,codellama:13b-instruct,0.9081632653061225,0.8666666666666667,135,139,89,10,28,8
5,defaultpatch,llm4cc-integrated-patch,codellama:13b-instruct,0.8866995073891626,0.8333333333333334,138,139,90,15,25,8
6,defaultpatch,llm4cc-clone_type-patch,deepseek-coder:6.7b,0.8686868686868687,0.7886178861788617,123,139,86,22,11,4
7,defaultpatch,llm4cc-integrated-patch,deepseek-coder:6.7b,0.9134615384615384,0.8666666666666667,135,139,95,16,22,2
8,defaultpatch,llm4cc-clone_type-patch,codegemma:7b-instruct,0.9010989010989011,0.8524590163934426,122,139,82,12,22,6
9,defaultpatch,llm4cc-integrated-patch,codegemma:7b-instruct,0.9,0.8529411764705882,136,139,90,12,26,8
10,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,0.96,0.9393939393939394,132,139,96,7,28,1
11,defaultpatch,llm4cc-integrated-patch,qwen2.5:7b,0.8979591836734694,0.8529411764705882,136,139,88,12,28,8
12,defaultpatch,llm4cc-clone_type-patch,qwen2.5-coder:7b,0.9528795811518325,0.9296875,128,139,91,8,28,1
13,defaultpatch,llm4cc-integrated-patch,qwen2.5-coder:7b,0.9090909090909091,0.8666666666666667,135,139,90,12,27,6
14,defaultpatch,llm4cc-clone_type-patch,yi-coder:9b,0.8441558441558441,0.7303370786516854,89,107,65,22,0,2
15,defaultpatch,llm4cc-integrated-patch,yi-coder:9b,0.95,0.9191919191919192,99,107,76,6,15,2
16,defaultpatch,llm4cc-clone_type-patch,hermes3:8b,0.9347826086956522,0.9047619047619048,126,139,86,6,28,6
17,defaultpatch,llm4cc-integrated-patch,hermes3:8b,0.9278350515463918,0.8947368421052632,133,139,90,10,29,4
