,Processor,Prompt,Model,F1_type-1,TP_type-1,FP_type-1,TN_type-1,FN_type-1,F1_type-2,TP_type-2,FP_type-2,TN_type-2,FN_type-2,F1_type-3,TP_type-3,FP_type-3,TN_type-3,FN_type-3,F1_type-4,TP_type-4,FP_type-4,TN_type-4,FN_type-4,F1_not-clone,TP_not-clone,FP_not-clone,TN_not-clone,FN_not-clone
0,defaultpatch,llm4cc-clone_type-patch,magicoder:7b-s-cl,0.14541387024608501,65,500,3419,264,0.0,0,237,3988,23,0.038643194504079006,45,34,1964,2205,0.007380073800738009,1,179,3978,90,0.4777967549103331,1119,2068,683,378
1,defaultpatch,llm4cc-integrated-patch,magicoder:7b-s-cl,0.10211027910142954,75,1065,2854,254,0.01140684410646388,6,1023,3202,17,0.09061488673139158,112,110,1888,2138,0.035650623885918005,10,460,3697,81,0.36615811373092927,528,859,1892,969
2,defaultpatch,llm4cc-clone_type-patch,codellama:7b-instruct,0.25095057034220536,165,821,3098,164,0.06829268292682927,7,175,4050,16,0.1003584229390681,126,135,1863,2124,0.016359918200409,4,394,3763,87,0.4701378254211332,921,1500,1251,576
3,defaultpatch,llm4cc-integrated-patch,codellama:7b-instruct,0.1134020618556701,77,952,2967,252,0.006329113924050633,3,922,3303,20,0.07644370585791443,92,65,1933,2158,0.03875968992248062,10,415,3742,81,0.4069803677157994,653,1059,1692,844
4,defaultpatch,llm4cc-clone_type-patch,codellama:13b-instruct,0.20802620802620803,127,765,3154,202,0.008761449621664676,11,2477,1748,12,0.12679425837320576,159,99,1899,2091,0.01941747572815534,2,113,4044,89,0.16566265060240964,165,330,2421,1332
5,defaultpatch,llm4cc-integrated-patch,codellama:13b-instruct,0.10774968918358889,130,1954,1965,199,0.007317073170731708,3,794,3431,20,0.0754084625052367,90,47,1951,2160,0.033802816901408454,6,258,3899,85,0.2143727161997564,264,702,2049,1233
6,defaultpatch,llm4cc-clone_type-patch,deepseek-coder:6.7b,0.14057971014492754,97,954,2965,232,0.002886002886002886,1,669,3556,22,0.32852852852852854,547,533,1465,1703,0.02005012531328321,4,304,3853,87,0.22761760242792106,300,839,1912,1197
7,defaultpatch,llm4cc-integrated-patch,deepseek-coder:6.7b,0.13524779990736452,146,1684,2235,183,0.006493506493506493,4,1205,3020,19,0.06575114440282981,79,74,1924,2171,0.0546448087431694,10,265,3892,81,0.24934152765583845,284,497,2254,1213
8,defaultpatch,llm4cc-clone_type-patch,codegemma:7b-instruct,0.5062240663900415,122,31,3888,207,0.018072289156626505,15,1622,2603,8,0.5370653837743276,1228,1095,903,1022,0.013245033112582781,1,59,4098,90,0.033078880407124686,26,49,2702,1471
9,defaultpatch,llm4cc-integrated-patch,codegemma:7b-instruct,0.16149562450278443,203,1982,1937,126,0.00957956359765833,9,1847,2378,14,0.004420866489832007,5,7,1991,2245,0.024096385542168676,2,73,4084,89,0.05689548546691403,46,74,2677,1451
10,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,0.5551948051948052,171,116,3803,158,0.030769230769230774,8,489,3736,15,0.16920077972709552,217,98,1900,2033,0.046875,6,159,3998,85,0.586476232983709,1314,1670,1081,183
11,defaultpatch,llm4cc-integrated-patch,qwen2.5:7b,0.23965763195435089,168,905,3014,161,0.005056890012642225,2,766,3459,21,0.2604748603351955,373,241,1757,1877,0.046674445740956826,20,746,3411,71,0.4603803486529318,581,446,2305,916
12,defaultpatch,llm4cc-clone_type-patch,qwen2.5-coder:7b,0.5422680412371135,263,378,3541,66,0.026905829596412554,3,197,4028,20,0.019064124783362217,22,36,1962,2228,0.0,0,0,4157,91,0.5963681386710689,1445,1904,847,52
13,defaultpatch,llm4cc-integrated-patch,qwen2.5-coder:7b,0.19364914107235812,186,1406,2513,143,0.0032599837000815,2,1202,3023,21,0.03452740612861459,40,27,1971,2210,0.01,1,108,4049,90,0.57554994590696,798,478,2273,699
14,defaultpatch,llm4cc-clone_type-patch,yi-coder:9b,0.04580152671755725,3,46,2968,79,0.0,0,60,3019,17,0.007042253521126762,6,2,1398,1690,0.026666666666666665,1,22,3022,51,0.5642994241842609,1176,1780,104,36
15,defaultpatch,llm4cc-integrated-patch,yi-coder:9b,0.05693950177935943,24,737,2277,58,0.016574585635359115,6,701,2378,11,0.07534626038781163,68,41,1359,1628,0.029239766081871347,5,285,2759,47,0.4670217124129455,570,659,1225,642
16,defaultpatch,llm4cc-clone_type-patch,hermes3:8b,0.015267175572519082,3,61,3858,326,0.06666666666666667,1,6,4219,22,0.4678068410462777,930,796,1202,1320,0.04733727810650888,56,2219,1938,35,0.10520023909145249,88,88,2663,1409
17,defaultpatch,llm4cc-integrated-patch,hermes3:8b,0.15959252971137522,141,1297,2622,188,0.00997506234413965,2,376,3849,21,0.10031847133757961,126,136,1862,2124,0.036231884057971016,20,993,3164,71,0.41446872645064053,550,607,2144,947
